Namespace(batch_size=100, dataset='ogbn-mag', dgl_sparse=False, dropout=0.7, eval_batch_size=32, fanout='4, 4', gpu='0', l2norm=0, layer_norm=False, low_mem=False, lr=0.01, n_bases=2, n_epochs=2, n_hidden=16, n_layers=2, node_feats=False, num_workers=1, sparse_lr=0.02, use_self_loop=False, validation=False)
Number of relations: 8
Number of class: 349
Number of train: 629571
Number of valid: 64879
Number of test: 41939
0:author
1:field_of_study
2:institution
3:paper
start training...
Using backend: pytorch
Train Accuracy: 0.0400 | Train Loss: 4.9809
Train Accuracy: 0.0600 | Train Loss: 4.9689
Train Accuracy: 0.0500 | Train Loss: 5.0404
Train Accuracy: 0.0500 | Train Loss: 4.8372
Train Accuracy: 0.0700 | Train Loss: 5.0064
Train Accuracy: 0.0500 | Train Loss: 5.0708
Train Accuracy: 0.0300 | Train Loss: 5.1868
Train Accuracy: 0.0600 | Train Loss: 4.8819
Train Accuracy: 0.0500 | Train Loss: 4.8212
Train Accuracy: 0.0800 | Train Loss: 5.0018
Train Accuracy: 0.0500 | Train Loss: 4.7389
Train Accuracy: 0.0600 | Train Loss: 4.9384
Train Accuracy: 0.0400 | Train Loss: 4.7840
Train Accuracy: 0.0600 | Train Loss: 5.1845
Train Accuracy: 0.0400 | Train Loss: 5.1412
Train Accuracy: 0.0600 | Train Loss: 5.1469
Train Accuracy: 0.0600 | Train Loss: 4.7815
Train Accuracy: 0.0400 | Train Loss: 5.1149
Train Accuracy: 0.0500 | Train Loss: 5.1428
Train Accuracy: 0.1100 | Train Loss: 4.7728
Train Accuracy: 0.0600 | Train Loss: 5.0046
Train Accuracy: 0.0100 | Train Loss: 4.8574
Train Accuracy: 0.0500 | Train Loss: 5.1521
Train Accuracy: 0.0600 | Train Loss: 5.1706
Train Accuracy: 0.0800 | Train Loss: 4.9522
Train Accuracy: 0.0700 | Train Loss: 5.0731
Train Accuracy: 0.0300 | Train Loss: 5.2097
Train Accuracy: 0.0600 | Train Loss: 4.9718
Train Accuracy: 0.1100 | Train Loss: 4.7306
Train Accuracy: 0.0400 | Train Loss: 5.0904
Train Accuracy: 0.0200 | Train Loss: 5.1368
Train Accuracy: 0.1000 | Train Loss: 4.7234
Train Accuracy: 0.0500 | Train Loss: 4.8931
Train Accuracy: 0.0600 | Train Loss: 5.1097
Train Accuracy: 0.0500 | Train Loss: 4.9653
Train Accuracy: 0.0300 | Train Loss: 5.3356
Train Accuracy: 0.0800 | Train Loss: 4.8603
Train Accuracy: 0.0600 | Train Loss: 4.7797
Train Accuracy: 0.1000 | Train Loss: 4.6787
Train Accuracy: 0.0300 | Train Loss: 4.9113
Train Accuracy: 0.0500 | Train Loss: 5.1725
Train Accuracy: 0.0600 | Train Loss: 4.8749
Train Accuracy: 0.0500 | Train Loss: 5.0307
Train Accuracy: 0.0900 | Train Loss: 4.7288
Train Accuracy: 0.0700 | Train Loss: 5.1242
Train Accuracy: 0.0300 | Train Loss: 5.1412
Train Accuracy: 0.0500 | Train Loss: 4.8731
Train Accuracy: 0.0700 | Train Loss: 4.9433
Train Accuracy: 0.0700 | Train Loss: 5.1745
Train Accuracy: 0.0700 | Train Loss: 4.9595
Train Accuracy: 0.0200 | Train Loss: 5.0244
Train Accuracy: 0.0400 | Train Loss: 5.1640
Train Accuracy: 0.0600 | Train Loss: 4.7878
Train Accuracy: 0.0700 | Train Loss: 4.9213
Train Accuracy: 0.0500 | Train Loss: 4.9105
Train Accuracy: 0.0600 | Train Loss: 4.7807
Train Accuracy: 0.0400 | Train Loss: 5.1116
Train Accuracy: 0.0800 | Train Loss: 4.9814
Train Accuracy: 0.1400 | Train Loss: 4.7348
Train Accuracy: 0.0700 | Train Loss: 5.0246
Train Accuracy: 0.0400 | Train Loss: 4.8881
Train Accuracy: 0.0700 | Train Loss: 4.9849
Train Accuracy: 0.0600 | Train Loss: 4.7654
Train Accuracy: 0.0500 | Train Loss: 4.9097
Train Accuracy: 0.0200 | Train Loss: 5.2810
Train Accuracy: 0.0900 | Train Loss: 4.8495
Train Accuracy: 0.0400 | Train Loss: 5.2030
Train Accuracy: 0.0300 | Train Loss: 5.1097
Train Accuracy: 0.1000 | Train Loss: 4.9411
Train Accuracy: 0.0500 | Train Loss: 5.1289
Train Accuracy: 0.0300 | Train Loss: 5.0718
Train Accuracy: 0.0600 | Train Loss: 4.8349
Train Accuracy: 0.0700 | Train Loss: 5.1196
Train Accuracy: 0.0300 | Train Loss: 5.1212
Train Accuracy: 0.1000 | Train Loss: 4.8159
Train Accuracy: 0.0300 | Train Loss: 5.0950
Train Accuracy: 0.0500 | Train Loss: 4.7290
Train Accuracy: 0.0900 | Train Loss: 4.7713
Train Accuracy: 0.1300 | Train Loss: 4.8577
Train Accuracy: 0.1100 | Train Loss: 4.7921
Train Accuracy: 0.0700 | Train Loss: 4.9802
Train Accuracy: 0.0900 | Train Loss: 4.8128
Train Accuracy: 0.0900 | Train Loss: 4.9777
Train Accuracy: 0.0800 | Train Loss: 4.8642
Train Accuracy: 0.0700 | Train Loss: 4.7718
Train Accuracy: 0.0700 | Train Loss: 4.9142
Train Accuracy: 0.0700 | Train Loss: 5.2931
Train Accuracy: 0.0300 | Train Loss: 4.8127
Train Accuracy: 0.0700 | Train Loss: 5.0467
Train Accuracy: 0.1000 | Train Loss: 4.8578
Train Accuracy: 0.0500 | Train Loss: 5.0162
Train Accuracy: 0.0500 | Train Loss: 5.2535
Train Accuracy: 0.0500 | Train Loss: 5.0509
Train Accuracy: 0.1100 | Train Loss: 5.1722
Train Accuracy: 0.0500 | Train Loss: 5.0107
Train Accuracy: 0.0900 | Train Loss: 5.0497
Train Accuracy: 0.0700 | Train Loss: 4.9166
Train Accuracy: 0.0500 | Train Loss: 5.0321
Train Accuracy: 0.0900 | Train Loss: 4.8463
Train Accuracy: 0.0400 | Train Loss: 4.9372
Train Accuracy: 0.0400 | Train Loss: 5.0016
Train Accuracy: 0.0500 | Train Loss: 5.0294
Train Accuracy: 0.1100 | Train Loss: 4.7179
Train Accuracy: 0.0300 | Train Loss: 5.1933
Train Accuracy: 0.0700 | Train Loss: 5.0695
Train Accuracy: 0.0400 | Train Loss: 4.7860
Train Accuracy: 0.0400 | Train Loss: 5.2411
Train Accuracy: 0.1100 | Train Loss: 4.8024
Train Accuracy: 0.1000 | Train Loss: 4.9269
Train Accuracy: 0.1000 | Train Loss: 4.9699
Train Accuracy: 0.0300 | Train Loss: 5.0512
Train Accuracy: 0.0600 | Train Loss: 5.3063
Train Accuracy: 0.1100 | Train Loss: 4.8292
Train Accuracy: 0.0600 | Train Loss: 4.8843
Train Accuracy: 0.0700 | Train Loss: 4.9607
Train Accuracy: 0.0600 | Train Loss: 4.9472
Train Accuracy: 0.0600 | Train Loss: 4.8380
Train Accuracy: 0.0900 | Train Loss: 4.7114
Train Accuracy: 0.0700 | Train Loss: 4.8686
Train Accuracy: 0.0900 | Train Loss: 4.8629
Train Accuracy: 0.0500 | Train Loss: 4.6938
Train Accuracy: 0.0800 | Train Loss: 4.9858
Train Accuracy: 0.1000 | Train Loss: 4.7393
Train Accuracy: 0.0700 | Train Loss: 4.7530
Train Accuracy: 0.0800 | Train Loss: 5.0153
Train Accuracy: 0.0500 | Train Loss: 5.1470
Train Accuracy: 0.0700 | Train Loss: 4.8394
Train Accuracy: 0.0600 | Train Loss: 4.8445
Train Accuracy: 0.0700 | Train Loss: 4.8727
Train Accuracy: 0.0700 | Train Loss: 4.9409
Train Accuracy: 0.0500 | Train Loss: 5.0480
Train Accuracy: 0.0600 | Train Loss: 5.0360
Train Accuracy: 0.0500 | Train Loss: 5.1212
Train Accuracy: 0.0600 | Train Loss: 4.6974
Train Accuracy: 0.0700 | Train Loss: 5.0033
Train Accuracy: 0.1000 | Train Loss: 4.7410
Train Accuracy: 0.0400 | Train Loss: 5.0367
Train Accuracy: 0.0400 | Train Loss: 4.9233
Train Accuracy: 0.0400 | Train Loss: 5.2279
Train Accuracy: 0.0600 | Train Loss: 5.1209
Train Accuracy: 0.0900 | Train Loss: 4.9006
Train Accuracy: 0.0600 | Train Loss: 4.9650
Train Accuracy: 0.0600 | Train Loss: 4.9198
Train Accuracy: 0.1100 | Train Loss: 4.8158
Train Accuracy: 0.0700 | Train Loss: 4.9014
Train Accuracy: 0.0500 | Train Loss: 4.8759
Train Accuracy: 0.0400 | Train Loss: 5.0345
Train Accuracy: 0.0500 | Train Loss: 5.0219
Train Accuracy: 0.0900 | Train Loss: 4.8226
Train Accuracy: 0.0900 | Train Loss: 4.8374
Train Accuracy: 0.0300 | Train Loss: 4.9782
Train Accuracy: 0.0400 | Train Loss: 4.9951
Train Accuracy: 0.0800 | Train Loss: 4.9463
Train Accuracy: 0.0800 | Train Loss: 4.9534
Train Accuracy: 0.0600 | Train Loss: 4.9899
Train Accuracy: 0.0400 | Train Loss: 4.9979
Train Accuracy: 0.0500 | Train Loss: 4.7998
Train Accuracy: 0.0800 | Train Loss: 4.9340
Train Accuracy: 0.0500 | Train Loss: 5.1699
Train Accuracy: 0.0200 | Train Loss: 5.1398
Train Accuracy: 0.1000 | Train Loss: 4.8759
Train Accuracy: 0.0600 | Train Loss: 4.9156
Train Accuracy: 0.0600 | Train Loss: 4.9104
Train Accuracy: 0.0400 | Train Loss: 5.0165
Train Accuracy: 0.1200 | Train Loss: 4.7262
Train Accuracy: 0.0700 | Train Loss: 5.0373
Train Accuracy: 0.0200 | Train Loss: 5.0628
Train Accuracy: 0.0800 | Train Loss: 4.9110
Train Accuracy: 0.0500 | Train Loss: 4.9614
Train Accuracy: 0.0900 | Train Loss: 4.7751
Train Accuracy: 0.1000 | Train Loss: 4.9897
Train Accuracy: 0.0400 | Train Loss: 4.9653
Train Accuracy: 0.0700 | Train Loss: 4.8067
Train Accuracy: 0.0800 | Train Loss: 5.0755
Train Accuracy: 0.0900 | Train Loss: 4.9701
Train Accuracy: 0.0800 | Train Loss: 4.9529
Train Accuracy: 0.0900 | Train Loss: 4.7852
Train Accuracy: 0.0500 | Train Loss: 4.8311
Train Accuracy: 0.0700 | Train Loss: 5.0656
Train Accuracy: 0.0700 | Train Loss: 4.9922
Train Accuracy: 0.0800 | Train Loss: 4.8519
